Area,Cow_Breed,No_of_Calves,Litres_of_water_Taken_by_the_cow_in_a_day,Feeding_Practices,Average_Temperature_of_the_Area,Yearly_Production
Suba South,Guernsey,3,81,Grazing,25,11215
Suba North,Holstein-Friesian,2,93,Grazing,26,11901
Rachuonyo East,Ayrshire,1,80,Mixed,29,6103
Rachuonyo South,Holstein-Friesian,1,62,Zero-grazing,27,7351
Rachuonyo North,Jersey,7,52,Grazing,17,8130
Suba South,Holstein-Friesian,1,57,Grazing,21,7111
Homa Bay Town,Holstein-Friesian,3,103,Zero-grazing,20,10218
Rachuonyo South,Guernsey,5,69,Grazing,27,5595
Suba South,Brown Swiss,2,98,Zero-grazing,29,9443
Ndhiwa,Guernsey,2,94,Grazing,24,10482
Suba North,Brown Swiss,7,58,Grazing,25,8491
Rachuonyo North,Brown Swiss,2,119,Grazing,27,10050
Rachuonyo North,Ayrshire,1,53,Mixed,26,6705
Rachuonyo East,Guernsey,1,66,Mixed,23,5046
Ndhiwa,Brown Swiss,6,65,Grazing,28,3959
Suba South,Guernsey,5,57,Zero-grazing,26,7242
Rachuonyo East,Jersey,3,81,Grazing,20,9587
Homa Bay Town,Brown Swiss,4,80,Grazing,17,11294
Rachuonyo South,Jersey,3,80,Grazing,18,11876
Suba South,Holstein-Friesian,6,59,Zero-grazing,24,3889
Suba North,Holstein-Friesian,3,101,Mixed,28,11540
Rachuonyo North,Jersey,3,105,Zero-grazing,24,9478
Homa Bay Town,Guernsey,3,92,Zero-grazing,22,11185
Suba South,Ayrshire,4,95,Grazing,24,10248
Rachuonyo South,Guernsey,2,99,Mixed,21,8623
Suba South,Jersey,4,82,Grazing,29,11463
Rachuonyo South,Jersey,1,69,Grazing,18,7464
Rachuonyo East,Holstein-Friesian,6,69,Grazing,26,3896
Suba North,Jersey,7,62,Zero-grazing,18,6375
Suba North,Guernsey,2,80,Grazing,26,8734
Rachuonyo East,Ayrshire,7,62,Mixed,29,6046
Suba North,Ayrshire,4,110,Grazing,30,10864
Homa Bay Town,Brown Swiss,4,118,Mixed,30,8929
Rachuonyo East,Guernsey,6,70,Zero-grazing,19,3279
Rachuonyo North,Guernsey,1,76,Zero-grazing,21,7597
Rachuonyo North,Guernsey,5,50,Mixed,20,7547
Rachuonyo North,Jersey,3,97,Zero-grazing,17,10562
Suba South,Ayrshire,1,71,Zero-grazing,16,6143
Rachuonyo East,Ayrshire,5,64,Mixed,21,6364
Rachuonyo North,Brown Swiss,7,59,Zero-grazing,24,5222
Rachuonyo North,Holstein-Friesian,6,65,Zero-grazing,20,3414
Suba South,Guernsey,5,66,Mixed,23,7329
Rachuonyo East,Guernsey,2,100,Grazing,29,10769
Rachuonyo East,Jersey,7,62,Zero-grazing,23,8131
Ndhiwa,Jersey,3,116,Grazing,29,9063
Suba South,Ayrshire,2,114,Zero-grazing,16,11630
Rachuonyo East,Brown Swiss,7,68,Mixed,28,8395
Suba North,Guernsey,6,55,Zero-grazing,23,2165
Rachuonyo South,Ayrshire,4,87,Mixed,27,11147
Homa Bay Town,Holstein-Friesian,6,63,Mixed,15,3972
Rachuonyo North,Holstein-Friesian,6,62,Mixed,30,2293
Rachuonyo North,Holstein-Friesian,1,54,Grazing,24,5985
Rachuonyo East,Guernsey,7,70,Grazing,15,5460
Rachuonyo East,Holstein-Friesian,5,66,Zero-grazing,25,6077
Suba South,Ayrshire,7,68,Zero-grazing,30,7556
Homa Bay Town,Guernsey,4,93,Mixed,26,11106
Rachuonyo North,Guernsey,3,115,Mixed,20,9985
Homa Bay Town,Holstein-Friesian,1,78,Zero-grazing,25,7632
Suba North,Jersey,2,94,Mixed,28,8940
Rachuonyo North,Holstein-Friesian,4,88,Mixed,16,9273
Suba North,Guernsey,6,69,Mixed,26,2339
Rachuonyo East,Ayrshire,7,58,Mixed,27,7660
Rachuonyo North,Holstein-Friesian,7,76,Zero-grazing,16,5648
Suba North,Guernsey,3,98,Mixed,18,11385
Suba North,Guernsey,7,78,Mixed,27,6915
Ndhiwa,Holstein-Friesian,7,75,Zero-grazing,21,5754
Ndhiwa,Brown Swiss,6,62,Mixed,27,2209
Suba North,Holstein-Friesian,1,59,Mixed,25,7835
Homa Bay Town,Guernsey,1,57,Zero-grazing,29,5884
Suba South,Ayrshire,6,64,Zero-grazing,21,2932
Suba North,Jersey,7,53,Zero-grazing,30,8396
Homa Bay Town,Ayrshire,4,104,Mixed,18,8739
Rachuonyo North,Guernsey,6,67,Mixed,26,2172
Suba North,Brown Swiss,4,109,Grazing,15,11238
Rachuonyo East,Brown Swiss,3,108,Grazing,28,9047
Homa Bay Town,Guernsey,4,80,Grazing,24,9793
Suba South,Jersey,4,114,Zero-grazing,23,9908
Homa Bay Town,Guernsey,1,77,Grazing,17,8480
Rachuonyo East,Brown Swiss,1,51,Mixed,26,8235
Rachuonyo North,Ayrshire,6,61,Grazing,24,3924
Rachuonyo East,Jersey,4,100,Zero-grazing,16,8756
Ndhiwa,Jersey,2,108,Zero-grazing,19,11867
Suba North,Ayrshire,5,66,Zero-grazing,21,5787
Rachuonyo South,Guernsey,3,81,Mixed,27,11239
Rachuonyo North,Jersey,4,110,Mixed,22,11885
Suba South,Ayrshire,3,110,Mixed,16,11253
Ndhiwa,Ayrshire,5,57,Grazing,29,7019
Suba South,Jersey,5,78,Zero-grazing,18,5605
Suba South,Guernsey,3,117,Grazing,18,10034
Homa Bay Town,Jersey,7,67,Grazing,20,7161
Rachuonyo East,Jersey,6,51,Mixed,15,2544
Suba North,Guernsey,4,96,Mixed,25,11422
Homa Bay Town,Guernsey,6,63,Zero-grazing,16,2387
Rachuonyo South,Ayrshire,5,59,Zero-grazing,28,8246
Rachuonyo North,Holstein-Friesian,7,80,Zero-grazing,19,6969
Rachuonyo North,Holstein-Friesian,3,95,Grazing,27,10666
Homa Bay Town,Holstein-Friesian,1,53,Grazing,21,6414
Suba South,Jersey,5,66,Grazing,22,7232
Ndhiwa,Ayrshire,1,56,Zero-grazing,15,6786
Homa Bay Town,Guernsey,1,66,Mixed,24,8481
Rachuonyo East,Guernsey,3,98,Zero-grazing,25,8826
Rachuonyo East,Ayrshire,6,66,Grazing,30,2357
Suba North,Ayrshire,3,111,Mixed,20,8540
Ndhiwa,Jersey,1,63,Grazing,22,5074
Ndhiwa,Jersey,3,83,Mixed,26,8629
Rachuonyo South,Holstein-Friesian,2,86,Zero-grazing,16,8661
Rachuonyo East,Brown Swiss,5,62,Zero-grazing,21,6612
Suba South,Jersey,1,55,Grazing,18,5851
Ndhiwa,Holstein-Friesian,7,69,Zero-grazing,16,5953
Homa Bay Town,Holstein-Friesian,5,68,Mixed,28,6996
Rachuonyo East,Holstein-Friesian,1,68,Grazing,15,6742
Suba South,Jersey,6,53,Grazing,15,2292
Suba South,Guernsey,6,61,Zero-grazing,21,3752
Rachuonyo East,Jersey,1,80,Mixed,17,5361
Homa Bay Town,Ayrshire,6,64,Grazing,30,2172
Rachuonyo North,Guernsey,5,65,Mixed,16,6883
Rachuonyo South,Guernsey,4,88,Mixed,15,11307
Rachuonyo East,Guernsey,6,69,Mixed,18,3282
Rachuonyo South,Holstein-Friesian,7,64,Mixed,22,8407
Rachuonyo North,Ayrshire,6,54,Mixed,20,3964
Rachuonyo East,Holstein-Friesian,2,100,Zero-grazing,28,9376
Rachuonyo South,Ayrshire,7,64,Zero-grazing,19,6373
Ndhiwa,Holstein-Friesian,3,93,Mixed,19,10757
Suba South,Guernsey,2,87,Grazing,22,9019
Rachuonyo East,Ayrshire,3,84,Grazing,23,9728
Ndhiwa,Brown Swiss,6,70,Mixed,23,3473
Ndhiwa,Jersey,5,55,Grazing,21,6386
Homa Bay Town,Guernsey,2,87,Mixed,22,10588
Rachuonyo South,Brown Swiss,3,120,Mixed,27,8545
Suba South,Ayrshire,5,68,Mixed,24,5588
Ndhiwa,Jersey,5,64,Grazing,15,7087
Rachuonyo East,Holstein-Friesian,1,68,Mixed,16,7142
Rachuonyo North,Ayrshire,6,61,Zero-grazing,20,2103
Ndhiwa,Jersey,2,104,Grazing,25,8786
Homa Bay Town,Guernsey,6,66,Zero-grazing,28,3818
Homa Bay Town,Brown Swiss,3,87,Zero-grazing,15,10821
Homa Bay Town,Ayrshire,4,96,Mixed,28,9124
Rachuonyo North,Brown Swiss,3,95,Mixed,28,10951
Suba North,Jersey,7,69,Zero-grazing,21,5001
Homa Bay Town,Brown Swiss,3,97,Zero-grazing,30,9015
Homa Bay Town,Guernsey,2,100,Grazing,29,10600
Ndhiwa,Jersey,5,75,Zero-grazing,23,7607
Suba North,Guernsey,4,90,Zero-grazing,28,10052
Homa Bay Town,Brown Swiss,3,116,Mixed,22,11848
Homa Bay Town,Jersey,2,101,Zero-grazing,28,8560
Ndhiwa,Guernsey,6,65,Grazing,27,2110
Rachuonyo North,Brown Swiss,5,61,Mixed,29,8370
Suba North,Brown Swiss,6,52,Zero-grazing,27,2115
Rachuonyo North,Guernsey,5,65,Mixed,30,5610
Suba North,Guernsey,7,62,Mixed,26,7935
Rachuonyo East,Brown Swiss,6,55,Grazing,17,3706
Suba South,Jersey,7,51,Zero-grazing,23,7266
Rachuonyo South,Holstein-Friesian,7,65,Zero-grazing,26,8282
Ndhiwa,Brown Swiss,7,68,Zero-grazing,19,7250
Suba North,Ayrshire,6,52,Zero-grazing,16,2807
Suba North,Brown Swiss,4,93,Grazing,20,10971
Suba South,Holstein-Friesian,2,89,Grazing,27,11629
Suba South,Brown Swiss,4,105,Mixed,22,11901
Suba South,Jersey,7,66,Zero-grazing,26,6644
Rachuonyo South,Ayrshire,4,118,Grazing,22,10170
Suba North,Brown Swiss,7,60,Mixed,22,6657
Rachuonyo North,Holstein-Friesian,4,89,Mixed,22,11031
Rachuonyo North,Guernsey,7,78,Grazing,15,5681
Suba South,Holstein-Friesian,3,110,Grazing,26,9322
Rachuonyo North,Ayrshire,2,117,Mixed,20,9656
Rachuonyo North,Brown Swiss,7,51,Zero-grazing,20,5907
Ndhiwa,Holstein-Friesian,6,67,Grazing,30,3838
Rachuonyo South,Guernsey,2,109,Grazing,18,9677
Suba South,Ayrshire,7,75,Zero-grazing,19,6617
Rachuonyo North,Holstein-Friesian,7,73,Mixed,17,6377
Suba South,Brown Swiss,1,65,Grazing,25,5681
Rachuonyo South,Brown Swiss,5,78,Zero-grazing,25,5750
Ndhiwa,Jersey,4,115,Grazing,18,9384
Ndhiwa,Guernsey,5,78,Zero-grazing,18,6566
Ndhiwa,Brown Swiss,2,109,Mixed,22,9486
Suba South,Holstein-Friesian,4,106,Mixed,18,10064
Homa Bay Town,Jersey,2,88,Mixed,18,11290
Rachuonyo North,Ayrshire,7,57,Grazing,29,6062
Rachuonyo South,Brown Swiss,4,120,Mixed,20,10844
Suba North,Jersey,4,89,Grazing,25,9651
Suba North,Ayrshire,7,51,Grazing,30,6916
Ndhiwa,Ayrshire,2,82,Grazing,20,10249
Suba South,Ayrshire,5,63,Grazing,28,7074
Suba North,Brown Swiss,2,82,Zero-grazing,24,9809
Rachuonyo North,Ayrshire,3,111,Mixed,17,9503
Suba South,Guernsey,6,65,Zero-grazing,16,2532
Rachuonyo South,Jersey,5,54,Zero-grazing,29,5673
Rachuonyo South,Ayrshire,6,53,Mixed,20,2752
Ndhiwa,Jersey,6,53,Zero-grazing,30,3239
Suba South,Jersey,2,93,Mixed,22,10682
Rachuonyo East,Holstein-Friesian,1,80,Zero-grazing,29,5518
Ndhiwa,Ayrshire,1,57,Grazing,17,7192
Rachuonyo East,Ayrshire,1,76,Grazing,20,8118
Homa Bay Town,Ayrshire,2,109,Zero-grazing,30,11381
Homa Bay Town,Jersey,1,78,Grazing,25,5294
Rachuonyo East,Brown Swiss,6,53,Grazing,24,2289
Rachuonyo South,Jersey,3,116,Mixed,25,10973
Suba North,Ayrshire,2,83,Mixed,21,9818
Suba South,Ayrshire,4,105,Grazing,23,10032
Rachuonyo South,Brown Swiss,5,76,Zero-grazing,20,8280
Rachuonyo South,Holstein-Friesian,5,62,Zero-grazing,19,8408
Rachuonyo South,Guernsey,7,59,Grazing,30,6760
Suba South,Brown Swiss,6,54,Grazing,29,3408
Rachuonyo North,Holstein-Friesian,2,103,Zero-grazing,30,11887
Homa Bay Town,Guernsey,7,76,Grazing,20,7992
Rachuonyo North,Brown Swiss,3,97,Mixed,26,9037
Rachuonyo South,Brown Swiss,3,101,Mixed,18,11519
Ndhiwa,Ayrshire,5,61,Grazing,15,7520
Suba South,Jersey,4,88,Mixed,20,10976
Suba North,Holstein-Friesian,4,102,Zero-grazing,16,9202
Homa Bay Town,Ayrshire,5,78,Mixed,26,7990
Suba South,Brown Swiss,1,50,Mixed,29,8279
Rachuonyo South,Jersey,7,74,Mixed,27,6575
Rachuonyo South,Holstein-Friesian,3,85,Mixed,18,11723
Suba South,Guernsey,7,71,Zero-grazing,24,7126
Suba North,Ayrshire,2,95,Mixed,20,8719
Ndhiwa,Brown Swiss,5,72,Zero-grazing,15,6877
Rachuonyo South,Brown Swiss,5,52,Mixed,28,7314
Suba South,Ayrshire,3,92,Zero-grazing,16,9712
Homa Bay Town,Guernsey,6,56,Mixed,27,3352
Homa Bay Town,Ayrshire,6,63,Mixed,15,2733
Suba North,Ayrshire,1,52,Zero-grazing,30,7210
Homa Bay Town,Guernsey,5,80,Zero-grazing,27,7895
Suba South,Jersey,7,72,Zero-grazing,24,5570
Ndhiwa,Jersey,7,65,Mixed,23,6008
Suba South,Ayrshire,3,112,Mixed,17,10272
Rachuonyo North,Ayrshire,5,80,Zero-grazing,24,5772
Suba South,Holstein-Friesian,6,63,Zero-grazing,26,2687
Homa Bay Town,Ayrshire,2,109,Mixed,15,8597
Suba North,Brown Swiss,4,103,Zero-grazing,17,9089
Suba North,Ayrshire,1,61,Mixed,22,6164
Rachuonyo North,Jersey,3,119,Grazing,28,8504
Suba North,Ayrshire,4,105,Mixed,29,11177
Suba North,Jersey,6,53,Grazing,23,2972
Ndhiwa,Jersey,7,72,Mixed,16,5350
Rachuonyo East,Jersey,3,104,Grazing,18,11142
Suba South,Ayrshire,6,52,Grazing,26,3572
Suba North,Brown Swiss,3,111,Zero-grazing,30,10939
Ndhiwa,Guernsey,7,79,Zero-grazing,28,8213
Ndhiwa,Holstein-Friesian,4,113,Zero-grazing,19,8841
Rachuonyo South,Ayrshire,2,87,Grazing,28,10014
Suba South,Guernsey,5,56,Zero-grazing,20,8182
Rachuonyo North,Guernsey,4,86,Mixed,28,9388
Homa Bay Town,Jersey,4,103,Zero-grazing,29,9799
Rachuonyo South,Guernsey,2,103,Grazing,25,11570
Suba South,Jersey,1,80,Mixed,20,6496
Rachuonyo East,Brown Swiss,6,62,Zero-grazing,21,2350
Rachuonyo South,Brown Swiss,7,77,Grazing,28,5000
Rachuonyo South,Jersey,3,94,Zero-grazing,18,9778
Suba North,Ayrshire,3,107,Grazing,26,10579
Ndhiwa,Holstein-Friesian,4,109,Mixed,19,10291
Rachuonyo North,Guernsey,3,97,Grazing,15,11897
Suba South,Jersey,5,51,Zero-grazing,17,6803
Ndhiwa,Ayrshire,1,71,Mixed,23,6531
Homa Bay Town,Holstein-Friesian,7,51,Zero-grazing,29,6337
Homa Bay Town,Jersey,1,68,Grazing,18,6128
Rachuonyo North,Guernsey,6,52,Mixed,19,2058
Suba North,Holstein-Friesian,7,58,Grazing,22,8289
Suba South,Ayrshire,2,88,Zero-grazing,16,9746
Ndhiwa,Guernsey,7,71,Grazing,15,5897
Homa Bay Town,Brown Swiss,7,65,Mixed,16,7244
Suba South,Ayrshire,6,59,Mixed,28,3978
Rachuonyo South,Jersey,1,74,Grazing,22,7258
Rachuonyo East,Jersey,7,63,Grazing,29,8180
Suba South,Brown Swiss,3,120,Mixed,22,10709
Homa Bay Town,Jersey,1,64,Mixed,19,6069
Ndhiwa,Brown Swiss,4,115,Mixed,25,9912
Rachuonyo North,Ayrshire,5,59,Zero-grazing,24,7467
Suba South,Guernsey,5,65,Zero-grazing,23,6766
Suba North,Guernsey,5,51,Mixed,20,6286
Homa Bay Town,Ayrshire,1,79,Grazing,20,6088
Ndhiwa,Ayrshire,5,77,Zero-grazing,17,7563
Suba North,Jersey,1,64,Mixed,18,5742
Homa Bay Town,Brown Swiss,4,115,Grazing,30,10226
Suba North,Ayrshire,7,74,Grazing,15,8495
Suba North,Ayrshire,5,61,Grazing,23,5175
Homa Bay Town,Brown Swiss,4,95,Zero-grazing,29,8877
Ndhiwa,Ayrshire,4,119,Zero-grazing,21,9649
Ndhiwa,Ayrshire,5,71,Grazing,20,7326
Homa Bay Town,Jersey,5,70,Mixed,16,5151
Rachuonyo East,Guernsey,7,52,Grazing,25,6195
Homa Bay Town,Holstein-Friesian,1,60,Grazing,19,6769
Homa Bay Town,Ayrshire,2,90,Zero-grazing,16,10259
Rachuonyo South,Guernsey,1,50,Grazing,27,5782
Ndhiwa,Ayrshire,2,90,Mixed,24,9064
Rachuonyo South,Jersey,1,54,Grazing,27,6834
Suba South,Brown Swiss,2,84,Grazing,27,10640
Rachuonyo South,Jersey,2,112,Mixed,23,10001
Ndhiwa,Guernsey,3,102,Zero-grazing,29,8793
Rachuonyo East,Guernsey,4,96,Grazing,17,11170
Rachuonyo South,Jersey,4,89,Zero-grazing,27,10435
Rachuonyo North,Jersey,4,120,Zero-grazing,22,10567
Suba South,Jersey,1,60,Grazing,16,6520
Suba North,Ayrshire,2,85,Zero-grazing,25,9009
Suba South,Jersey,2,87,Grazing,21,9002
Rachuonyo East,Ayrshire,7,73,Grazing,25,5610
Rachuonyo North,Jersey,7,80,Mixed,20,6739
Ndhiwa,Guernsey,7,69,Zero-grazing,27,6648
Rachuonyo East,Ayrshire,5,56,Mixed,26,7305
Rachuonyo South,Holstein-Friesian,6,50,Mixed,18,3126
Rachuonyo North,Jersey,5,70,Mixed,29,8379
Rachuonyo South,Jersey,5,66,Zero-grazing,26,5916
Suba South,Jersey,6,67,Mixed,29,3661
Rachuonyo South,Holstein-Friesian,3,101,Zero-grazing,20,11666
Ndhiwa,Jersey,7,66,Grazing,17,5258
Rachuonyo North,Jersey,4,107,Grazing,21,9087
Homa Bay Town,Holstein-Friesian,2,96,Zero-grazing,23,8713
Ndhiwa,Guernsey,3,107,Grazing,22,11698
Rachuonyo North,Ayrshire,4,105,Grazing,27,9538
Suba North,Jersey,1,66,Grazing,19,7180
Suba North,Brown Swiss,6,66,Zero-grazing,21,3603
Rachuonyo South,Ayrshire,7,79,Mixed,27,7362
Suba South,Brown Swiss,2,109,Zero-grazing,17,10525
Rachuonyo North,Holstein-Friesian,7,72,Grazing,26,5615
Suba South,Guernsey,2,94,Grazing,25,11627
Suba South,Ayrshire,6,68,Zero-grazing,25,3878
Ndhiwa,Guernsey,7,54,Zero-grazing,28,6818
Homa Bay Town,Ayrshire,6,51,Zero-grazing,28,2671
Suba South,Brown Swiss,7,80,Zero-grazing,29,7819
Ndhiwa,Holstein-Friesian,4,99,Zero-grazing,27,10619
Ndhiwa,Brown Swiss,6,52,Zero-grazing,30,3631
Suba North,Holstein-Friesian,2,80,Mixed,15,11563
Rachuonyo North,Guernsey,7,67,Mixed,17,7937
Suba North,Guernsey,4,115,Grazing,26,10746
Homa Bay Town,Brown Swiss,4,107,Grazing,15,9165
Suba South,Guernsey,4,120,Mixed,22,9624
Rachuonyo South,Holstein-Friesian,1,64,Grazing,18,7594
Suba North,Holstein-Friesian,3,100,Grazing,16,9882
Rachuonyo East,Guernsey,1,69,Zero-grazing,25,5295
Suba South,Jersey,2,96,Mixed,20,11185
Suba South,Guernsey,4,103,Grazing,16,10640
Suba South,Guernsey,5,80,Zero-grazing,25,6548
Suba South,Ayrshire,7,63,Zero-grazing,22,6791
Rachuonyo South,Brown Swiss,5,56,Grazing,19,6313
Rachuonyo South,Guernsey,5,75,Mixed,25,5922
Rachuonyo North,Ayrshire,2,90,Zero-grazing,18,8620
Ndhiwa,Ayrshire,5,57,Grazing,16,8458
Rachuonyo North,Ayrshire,1,55,Zero-grazing,20,5979
Rachuonyo East,Jersey,4,119,Grazing,17,8636
Rachuonyo North,Ayrshire,6,54,Zero-grazing,29,2615
Rachuonyo North,Ayrshire,5,73,Mixed,20,7527
Suba South,Guernsey,1,54,Grazing,28,6239
Rachuonyo North,Brown Swiss,4,103,Grazing,24,11075
Ndhiwa,Guernsey,2,111,Mixed,15,9265
Rachuonyo East,Guernsey,3,85,Mixed,28,8565
Ndhiwa,Jersey,2,80,Mixed,25,10479
Homa Bay Town,Holstein-Friesian,5,75,Grazing,30,5131
Suba North,Brown Swiss,4,94,Mixed,24,10928
Suba South,Holstein-Friesian,2,91,Mixed,27,8647
Suba South,Jersey,7,67,Zero-grazing,16,6082
Suba North,Guernsey,6,60,Grazing,26,2905
Homa Bay Town,Holstein-Friesian,5,66,Mixed,17,6165
Ndhiwa,Brown Swiss,6,64,Zero-grazing,20,3061
Ndhiwa,Guernsey,1,73,Zero-grazing,30,5206
Homa Bay Town,Jersey,2,105,Mixed,17,8705
Ndhiwa,Ayrshire,4,101,Grazing,18,11586
Ndhiwa,Jersey,1,54,Mixed,28,5930
Rachuonyo South,Brown Swiss,6,53,Zero-grazing,26,3533
Rachuonyo North,Jersey,3,84,Grazing,29,8678
Suba South,Jersey,5,56,Zero-grazing,29,6521
Suba South,Guernsey,7,62,Zero-grazing,16,5482
Suba South,Ayrshire,6,54,Mixed,27,2457
Rachuonyo North,Jersey,5,71,Zero-grazing,27,7438
Homa Bay Town,Guernsey,5,68,Grazing,25,7713
Suba South,Ayrshire,7,71,Grazing,28,6109
Suba North,Guernsey,3,105,Mixed,24,11348
Suba South,Holstein-Friesian,2,120,Zero-grazing,22,9007
Ndhiwa,Brown Swiss,1,58,Mixed,18,8050
Ndhiwa,Jersey,4,112,Mixed,24,9864
Rachuonyo East,Jersey,1,55,Grazing,20,5250
Suba North,Jersey,3,90,Mixed,25,10215
Rachuonyo North,Ayrshire,1,60,Mixed,25,5270
Suba North,Jersey,4,80,Mixed,26,11157
Rachuonyo South,Brown Swiss,5,72,Mixed,26,5712
Rachuonyo East,Jersey,4,96,Zero-grazing,30,9527
Suba North,Brown Swiss,7,78,Grazing,16,6709
Suba South,Ayrshire,2,111,Mixed,22,9833
Suba North,Ayrshire,5,58,Zero-grazing,29,5631
Homa Bay Town,Brown Swiss,4,117,Grazing,25,10471
Suba South,Guernsey,6,60,Grazing,15,3069
Ndhiwa,Ayrshire,5,59,Zero-grazing,22,6586
Rachuonyo North,Jersey,4,83,Mixed,26,11056
Ndhiwa,Guernsey,4,113,Mixed,24,9995
Ndhiwa,Brown Swiss,5,61,Zero-grazing,21,8213
Suba South,Ayrshire,7,60,Mixed,28,6847
Ndhiwa,Brown Swiss,4,115,Grazing,24,11395
Rachuonyo East,Holstein-Friesian,1,70,Zero-grazing,21,7764
Rachuonyo South,Ayrshire,2,111,Grazing,17,11452
Rachuonyo North,Brown Swiss,1,78,Grazing,28,7139
Homa Bay Town,Guernsey,5,51,Zero-grazing,21,5016
Suba South,Brown Swiss,7,70,Mixed,23,8465
Rachuonyo South,Guernsey,2,95,Mixed,24,11823
Homa Bay Town,Ayrshire,6,65,Grazing,15,3501
Suba South,Guernsey,5,70,Mixed,18,6816
Rachuonyo East,Guernsey,2,115,Zero-grazing,16,11274
Rachuonyo South,Jersey,6,63,Mixed,22,3647
Rachuonyo East,Brown Swiss,6,70,Mixed,18,2359
Rachuonyo North,Jersey,1,76,Zero-grazing,27,6041
Rachuonyo North,Brown Swiss,5,55,Grazing,19,5290
Ndhiwa,Brown Swiss,5,50,Mixed,25,5396
Rachuonyo East,Ayrshire,3,108,Zero-grazing,21,10618
Suba South,Holstein-Friesian,4,82,Zero-grazing,21,8621
Rachuonyo East,Guernsey,2,102,Grazing,25,11608
Suba North,Jersey,3,86,Zero-grazing,28,8556
Rachuonyo South,Brown Swiss,5,74,Mixed,23,5553
Homa Bay Town,Guernsey,5,66,Zero-grazing,17,5406
Suba North,Holstein-Friesian,1,58,Zero-grazing,27,7040
